"L","EGlob","CCLosed","ELocClosed","Copen","ELocOpen","Circuit_rank","Dia","Mean_path_length","Coverage","time","mean_deg","var_deg","avg_deg","mean_fragsize","var_fragsize","avg_fragsize","Maximalcliques","label"
1,1,1,1,1,1,21,1,0.875,0.981481481481482,"1x1 struct",321.433823529412,155.264213602827,321.433823529412,67.3713235294118,30.6383102059146,67.3713235294118,1,0.113207547169811
1,1,1,1,1,1,3,1,0.75,0.981481481481482,"1x1 struct",166.984592809978,86.330346662496,166.984592809978,77.6962582538518,43.0442400464861,77.6962582538518,1,0.113207547169811
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,3,1,0.75,0.981481481481482,"1x1 struct",171.700879765396,83.0412936161864,171.700879765396,78.4640762463343,41.4119864958977,78.4640762463343,1,0.084905660377359
1.11538461538462,0.942307692307692,0.933207817823203,0.966603908911601,0.920979020979021,0.960489510489511,57,2,1.02958579881657,0.981481481481482,"1x1 struct",327.488687782806,224.563502024553,327.488687782806,50.1470588235294,33.0779940578041,50.1470588235294,3,0.132075471698113
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1.01515151515152,0.992424242424242,0.987373737373737,0.993686868686869,0.984848484848485,0.992424242424242,54,2,0.930555555555556,0.829457364341085,"1x1 struct",459.896210475501,194.625287106645,459.896210475501,55.8351436157374,21.4141965625376,55.8351436157374,2,0.346456692913386
1.28571428571429,0.857142857142857,0.892857142857143,0.946428571428571,0.857142857142857,0.928571428571429,13,2,1.125,0.627906976744186,"1x1 struct",64.3665958952583,56.3505248683622,64.3665958952583,32.3159943382873,25.0345345393762,32.3159943382873,3,0.433070866141732
2.06666666666667,0.633333333333333,0.833333333333333,0.916666666666667,"NaN","NaN",1,4,1.72222222222222,0.472868217054264,"1x1 struct",5.7518115942029,1.83029299082473,5.7518115942029,19.5425724637681,8.62206322201791,19.5425724637681,4,0.535433070866142
1.03846153846154,0.980769230769231,0.970414201183432,0.985207100591716,0.965034965034965,0.982517482517482,63,2,0.958579881656805,0.72093023255814,"1x1 struct",430.989938331711,239.709101741126,430.989938331711,52.8075300227199,25.7235241863533,52.8075300227199,3,0.401574803149606
1.28571428571429,0.857142857142857,0.892857142857143,0.946428571428571,0.857142857142857,0.928571428571429,13,2,1.125,0.627906976744186,"1x1 struct",77.7070063694268,67.2529595439847,77.7070063694268,34.9699221514508,27.0407761753149,34.9699221514508,3,0.433070866141732
1,1,1,1,1,1,45,1,0.909090909090909,0.829457364341085,"1x1 struct",589.967744058982,174.36420103102,589.967744058982,69.4095187940228,18.6687321529897,69.4095187940228,1,0.346456692913386
1.66666666666667,0.718518518518518,0.853333333333333,0.926666666666667,"NaN","NaN",13,3,1.5,0.62015503875969,"1x1 struct",39.4685039370079,27.3764022784693,39.4685039370079,22.7854330708661,12.6472228962657,22.7854330708661,5,0.480314960629921
1.44444444444444,0.807407407407407,0.884444444444445,0.942222222222222,"NaN","NaN",20,3,1.3,0.705426356589147,"1x1 struct",103.019197207679,91.9879176376103,103.019197207679,33.760907504363,26.2071601006205,33.760907504363,4,0.37007874015748
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,91,1,0.933333333333333,0.90990990990991,"1x1 struct",700.824524312896,144.963102281184,700.824524312896,69.8343904157858,14.6810077020232,69.8343904157858,1,0.08256880733945
1,1,1,1,1,1,21,1,0.875,0.891891891891892,"1x1 struct",542.762096774194,71.6688730454814,542.762096774194,87.7116935483871,12.651191891408,87.7116935483871,1,0.146788990825688
1,1,1,1,1,1,78,1,0.928571428571429,0.891891891891892,"1x1 struct",704.227753153768,170.729366339145,704.227753153768,72.0934197067849,17.4874120406526,72.0934197067849,1,0.174311926605505
1,1,1,1,1,1,91,1,0.933333333333333,0.90990990990991,"1x1 struct",733.361522198732,156.906130551388,733.361522198732,71.5715292459479,15.7602281458398,71.5715292459479,1,0.137614678899083
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1,1,1,1,1,1,105,1,0.9375,0.90990990990991,"1x1 struct",1011.13387978142,130.741959487034,1011.13387978142,80.0790398126464,12.5396245598616,80.0790398126464,1,0.146788990825688
1.36190476190476,0.819047619047619,0.838093758093758,0.919046879046879,0.791669071669072,0.892439474106141,53,2,1.27111111111111,0.956043956043956,"1x1 struct",67.3191751308095,28.4893588061034,67.3191751308095,21.7666974453678,5.41413013372303,21.7666974453678,9,0.089887640449438
1.74545454545455,0.687878787878788,0.826839826839827,0.913419913419913,0.745454545454545,0.790909090909091,14,3,1.58677685950413,0.835164835164835,"1x1 struct",27.6828434723172,13.9188272992201,27.6828434723172,18.5304169514696,4.64249806974867,18.5304169514696,5,0.617977528089888
1,1,1,1,1,1,10,1,0.833333333333333,0.384615384615385,"1x1 struct",35.7080035180299,11.6031004996627,35.7080035180299,30.4749340369393,13.9055388844869,30.4749340369393,1,0.573033707865169
1.37179487179487,0.814102564102564,0.8538845769615,0.92694228848075,0.813453213453213,0.906338106338106,37,2,1.26627218934911,0.725274725274725,"1x1 struct",53.0998851894374,28.3505916613115,53.0998851894374,21.1634137007271,7.8813999473054,21.1634137007271,6,0.382022471910112
1.74545454545455,0.687878787878788,0.826839826839827,0.913419913419913,0.745454545454545,0.790909090909091,14,3,1.58677685950413,0.835164835164835,"1x1 struct",28.7151962428715,15.2453982223819,28.7151962428715,18.9265347198927,5.72299514685458,18.9265347198927,5,0.280898876404494
1.1025641025641,0.948717948717949,0.944773175542406,0.972386587771203,0.934731934731935,0.967365967365967,58,2,1.01775147928994,0.967032967032967,"1x1 struct",258.757939308398,123.44071991754,258.757939308398,43.8955539872971,17.7684505327785,43.8955539872971,2,0.089887640449438
1.41818181818182,0.803030303030303,0.933838383838384,0.966919191919192,"NaN","NaN",24,3,1.28925619834711,0.67032967032967,"1x1 struct",34.3927075634393,19.9527590903273,34.3927075634393,20.2759300320276,6.5460682805861,20.2759300320276,3,0.280898876404494
2.34545454545455,0.559090909090909,0.9,0.95,0.833333333333333,0.833333333333333,7,4,2.13223140495868,0.835164835164835,"1x1 struct",41.3403390502627,15.4833161508818,41.3403390502627,22.3555070883315,4.18108822523028,22.3555070883315,5,0.449438202247191
1.58333333333333,0.744444444444445,0.953571428571429,0.976785714285714,"NaN","NaN",48,3,1.484375,0.447115384615385,"1x1 struct",108.487124463519,85.8170670913238,108.487124463519,24.6888412017167,15.5472381919697,24.6888412017167,4,0.504854368932039
2,0.625,0.858333333333333,0.929166666666667,"NaN","NaN",3,4,1.75,0.293269230769231,"1x1 struct",19.8117760617761,10.4901002747813,19.8117760617761,20.8976833976834,5.93654567421814,20.8976833976834,4,0.533980582524272
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1.5,0.795833333333334,0.865225052725053,0.932612526362526,"NaN","NaN",61,4,1.40625,0.355769230769231,"1x1 struct",83.8512763596005,61.8771552445382,83.8512763596005,21.5593784683685,10.3658477571256,21.5593784683685,8,0.432038834951456
"[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]","[]"
1.44852941176471,0.775735294117647,0.973615916955017,0.986807958477509,0.970098039215686,0.970098039215686,59,2,1.36332179930796,0.447115384615385,"1x1 struct",427.942438778086,278.335146194691,427.942438778086,48.0585710679122,27.0089741750556,48.0585710679122,3,0.41747572815534
1,1,1,1,"NaN","NaN",0,1,0.5,0.038461538461539,"1x1 struct",86.5168539325843,0,86.5168539325843,93.2584269662921,9.53402401599839,93.2584269662921,1,0.524271844660194
1.87878787878788,0.654040404040404,0.839880952380952,0.919940476190476,0.77202380952381,0.859027777777778,15,4,1.72222222222222,0.25,"1x1 struct",43.28125,26.3120714983464,43.28125,21.1848958333333,7.7524562907055,21.1848958333333,6,0.58252427184466
