VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -1.3311  0.3848  0.2559  0.0636  0.0026  0.4145  0.3756  0.3784 -0.4850 -0.1732  0.3341 -0.3812  0.1011 -0.1007 -0.2411 -0.2728 -0.0106  0.1380  0.1940 -0.1643 -0.3837 -0.2197  0.1174 -0.0755 -0.0002 -0.2888 -0.2526 -0.1202  0.2243  0.1881 -0.2568 -0.1742  0.0551  0.1550 -0.1373 -0.3810  0.0193  0.2594  0.0838 -0.1331  0.0763  0.4225  0.3284 -0.1747  0.1545 -0.2951 -0.1899  0.0024  0.1768 -0.0684  0.2386
  0.9738 -0.2933 -0.2130 -0.0240 -0.3411 -0.3796  0.0718  0.0875 -0.0317 -0.1354 -0.2769 -0.1245  0.0982  0.2016 -0.1072  0.1651  0.1499  0.2337  0.1752  0.2044  0.1722  0.2544 -0.2265 -0.0562  0.1687  0.0704  0.0591  0.1679  0.0475  0.4081  0.4004 -0.3985 -0.2571 -0.2514  0.3732  0.1373 -0.3014 -0.4288  0.1256 -0.0916  0.0723 -0.2335  0.2494  0.1295 -0.3134  0.1572 -0.0782  0.0504 -0.1992  0.2636 -0.2956
 -0.2058 -0.0245 -0.4723  0.5305 -0.4784 -0.0015 -0.4954  0.0257  0.1000  0.0887 -0.6530  0.4560  0.2822 -0.5060  0.1071  0.4164  0.1719  0.1624  0.1130 -0.2682  0.0637  0.0499  0.0709  0.3282 -0.0379 -0.1204 -0.0591 -0.0149  0.0543  0.4331  0.3065 -0.3049 -0.3011 -0.0262  0.5069  0.4470 -0.3760 -0.1267 -0.3646 -0.2894 -0.0703  0.0709 -0.0763  0.4369 -0.5793  0.4340  0.1999  0.6209 -0.0997  0.0924 -0.6738
  0.6543 -0.4550 -0.4708  0.3683 -0.2677  0.1661 -0.0796 -0.1391  0.4218 -0.2281 -0.4155 -0.1494  0.1594  0.0965 -0.1199 -0.2519 -0.0802 -0.4162 -0.0788 -0.1747 -0.2152 -0.0672 -0.2874  0.1100  0.0387 -0.1268 -0.0011 -0.2305  0.2732  0.3635 -0.0085  0.1630  0.1364  0.0916 -0.0614  0.0049 -0.1808 -0.2915 -0.2688  0.0096  0.0756 -0.3986 -0.0482 -0.0640  0.1784  0.4538  0.2940  0.2910 -0.1364 -0.0507 -0.4342
 -0.2884  0.3016 -0.0321 -0.3332 -0.1555  0.2799  0.1304  0.1554  0.1998 -0.2063  0.2704 -0.3328 -0.1626 -0.0646  0.3583 -0.0012  0.0245  0.0930 -0.5355 -0.1135  0.2870 -0.1285  0.1555  0.1323 -0.3397  0.0551 -0.4113 -0.0227  0.2011 -0.0877 -0.0494 -0.0701  0.1277 -0.0392 -0.1955 -0.4975  0.3327 -0.2176 -0.1415  0.0733  0.5671  0.0088 -0.4252 -0.3130  0.1324 -0.1797 -0.2791  0.1319  0.4874 -0.1039  0.2065
  0.3794 -0.1979 -0.4840  0.1885 -0.2726 -0.1092 -0.5182 -0.2075  0.3071 -0.3939 -0.2068  0.4408  0.4266 -0.0526  0.1264 -0.0760  0.0418 -0.1982  0.1982  0.3086  0.2522  0.5244  0.2024  0.1187  0.1253  0.1513 -0.0624 -0.0494  0.4051  0.3536 -0.3290  0.0040 -0.0323 -0.2145  0.6172 -0.1449 -0.2736 -0.5292 -0.4545 -0.2198  0.0412 -0.4370 -0.0727  0.2498  0.1267 -0.0154  0.0590  0.3308  0.3269  0.6324 -0.1822
 -0.1078 -0.1468 -0.2921  0.4262 -0.2270 -0.0602 -0.2170  0.3302  0.0168  0.2794 -0.0743  0.1838 -0.1277 -0.1622  0.4508 -0.2901 -0.2088 -0.3505 -0.2599  0.0302 -0.0153  0.0722  0.1249  0.0720  0.3491 -0.0881  0.2848 -0.2727  0.0319 -0.1902  0.2126 -0.1748 -0.0182 -0.4414  0.1082 -0.1232 -0.1206  0.1902  0.2914  0.2992 -0.2487 -0.4731  0.2605 -0.1187  0.2904  0.3066  0.0925 -0.0468 -0.1991  0.3593  0.1675
  0.0107  0.6578  0.6037 -0.2939  0.1730  0.0730  0.0582  0.1729 -0.2127  0.5944  0.6004 -0.3068 -0.2352  0.3150  0.0049 -0.0770 -0.1280  0.3080  0.4275 -0.1999  0.0427 -0.1177  0.0209 -0.4331 -0.0183 -0.4735 -0.2084  0.5323 -0.0333 -0.5992  0.0888  0.1284  0.2926  0.3042 -0.3656 -0.0853  0.3479  0.0414  0.1126 -0.1450  0.0500  0.1780 -0.0424 -0.2082  0.3957 -0.0676 -0.6077 -0.1008  0.4095 -0.6259  0.2049
 -0.4907 -0.1670  0.0268  0.5554 -0.4209 -0.0753  0.2776 -0.0893 -0.1960  0.3774 -0.1246  0.3772  0.1645  0.0433 -0.0456 -0.1693 -0.0846 -0.1077  0.2834  0.4136 -0.1112  0.1480  0.1359  0.0363  0.4896  0.2420 -0.3032 -0.3565  0.0758  0.1148  0.1084  0.0189 -0.0002  0.2329  0.2108 -0.0187 -0.2844  0.0616 -0.1877  0.3017  0.1013 -0.1828 -0.2943  0.3350 -0.1755  0.3502  0.0246  0.2025  0.1634  0.3446 -0.4806
 -0.8891  0.0609  0.1604 -0.4797  0.1086  0.1726  0.2639 -0.4937  0.0400  0.5383  0.0679  0.2037 -0.1009 -0.0091  0.0569  0.0740  0.0512 -0.0714  0.2121  0.4954  0.0706  0.3637  0.3878  0.0817 -0.7845  0.2926 -0.3972 -0.3086  0.1505 -0.0055  0.1358  0.3679  0.2641 -0.0410  0.2567 -0.2168  0.0119 -0.2513  0.2478 -0.1058 -0.1142 -0.2588 -0.1333  0.0648 -0.4160 -0.0903 -0.3831 -0.3706 -0.2726  0.2814  0.0760
