VARS b 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50
FORMAT  %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f %7.4f

 -1.3823  0.0439  0.3104 -0.7166 -0.2149  0.5135 -0.1465 -0.5300 -0.0364 -0.3676  0.0275 -0.2928  0.2045 -0.1148  0.2192  0.3606  0.2671 -0.2103  0.2256 -0.4661 -0.0193  0.4961  0.1191  0.1543 -0.3781  0.3978  0.4477 -0.0082  0.0832 -0.1513 -0.0058  0.1117 -0.3110  0.2305 -0.1354 -0.2123 -0.3268  0.0011  0.2240  0.3696  0.4903  0.0303 -0.0705  0.4333 -0.1622  0.0916 -0.0321 -0.0456  0.0629 -0.0761 -0.3208
  1.3356  0.1199 -0.0403 -0.0507 -0.1061  0.4545  0.0304 -0.3871  0.1663 -0.4836  0.2669 -0.4898  0.2471 -0.0482  0.0394 -0.1282  0.0434 -0.3389 -0.3593 -0.1916  0.3386  0.1828 -0.2061  0.0400 -0.3301  0.1639  0.2340 -0.4257  0.2519 -0.1242  0.0997  0.0349  0.0878  0.3689  0.5099 -0.1582 -0.1423  0.2664 -0.0040  0.2278 -0.2288  0.1913  0.2860  0.1774  0.4170 -0.1353 -0.2677  0.3503  0.0592  0.3604 -0.1172
 -1.2285  0.2949  0.2276  0.1282 -0.0538  0.4619  0.3704  0.2452 -0.4046 -0.1544  0.2460 -0.3668  0.2043 -0.1948 -0.1402 -0.3008  0.0582  0.1494  0.1407 -0.1509 -0.2533 -0.1307  0.1429  0.0723 -0.1077 -0.2219 -0.3561 -0.2112  0.2692  0.2569 -0.1412 -0.1764  0.0090  0.1341 -0.0653 -0.3649 -0.0226  0.2082  0.0135 -0.1036  0.1728  0.4379  0.2750 -0.0685  0.0765 -0.2294 -0.1062  0.1513  0.2785  0.0025  0.1455
  0.7995 -0.1511 -0.2243 -0.0866 -0.3306 -0.3876  0.2162  0.0573 -0.1390 -0.0691 -0.2757 -0.3518 -0.1176  0.4058 -0.2032  0.2301 -0.0106  0.2375  0.1967  0.3235  0.1609  0.2781 -0.0990 -0.2187  0.3414 -0.0374  0.0424  0.1222 -0.0796  0.2898  0.3758 -0.2465 -0.0532 -0.0762  0.2103 -0.1336 -0.1551 -0.4159  0.1592 -0.2589  0.2287 -0.0003  0.1569 -0.0643 -0.1869  0.0978 -0.1947 -0.0405  0.0938  0.2356 -0.2337
 -0.3788  0.1170 -0.4178  0.4339 -0.3916 -0.0910 -0.4898  0.2745 -0.0472  0.0098 -0.4997  0.4295  0.1045 -0.3442 -0.1325  0.4742  0.0603  0.1553  0.2142 -0.2620 -0.2019 -0.0876  0.0502  0.0567  0.1961 -0.2216  0.1608  0.1483 -0.0111  0.3417  0.0784 -0.2913 -0.2298  0.0296  0.3973  0.4304 -0.2921 -0.0342 -0.2526 -0.3697 -0.2874  0.0350  0.0533  0.2613 -0.4366  0.3316  0.0736  0.3416 -0.3103 -0.0352 -0.4957
  0.2452 -0.1635 -0.0030  0.1691  0.0130  0.1566  0.1521  0.0955  0.1031 -0.3334  0.0006 -0.3728  0.0185  0.4548 -0.3173 -0.2194 -0.3121 -0.2177 -0.1002 -0.2161 -0.3923 -0.1185 -0.3118 -0.1626  0.2058 -0.2374 -0.0550 -0.0658 -0.0913  0.0857 -0.3185  0.5227  0.2349  0.3981 -0.4013 -0.1552  0.1226 -0.0281 -0.0255 -0.0330  0.2032 -0.2356 -0.1115 -0.3010  0.5124  0.2446 -0.0004 -0.0775 -0.1577 -0.3939 -0.0175
 -0.3639  0.3661 -0.0795 -0.3951 -0.1166  0.1332  0.0529  0.3423  0.1154 -0.3088  0.3316 -0.2298 -0.3215  0.1011  0.2439  0.0119 -0.1777 -0.0089 -0.3793 -0.1705 -0.0639 -0.3755  0.0742 -0.0245 -0.0370 -0.0222 -0.1484  0.1626  0.2645 -0.0708 -0.1732 -0.0978  0.2940 -0.1241 -0.1867 -0.4055  0.2348 -0.2252 -0.1040  0.1588  0.2005 -0.1347 -0.2603 -0.4728  0.2836 -0.2559 -0.3491 -0.1041  0.2261 -0.1498  0.2761
  0.2229 -0.1005 -0.4486  0.0832 -0.0284 -0.1395 -0.1862  0.0469  0.1248 -0.4634 -0.3353  0.3330  0.4340  0.1694 -0.2891 -0.0764  0.1116 -0.4800 -0.0701  0.3506  0.3057  0.0270  0.1059 -0.0697  0.0401 -0.1549  0.0831  0.1702  0.2444  0.3646 -0.5192 -0.3119  0.1827  0.1861  0.4757 -0.2256 -0.0550  0.1541 -0.6097 -0.1744 -0.3953 -0.5115  0.1235 -0.2385  0.3233  0.1560 -0.3899  0.1654  0.3211  0.5319 -0.2714
 -0.1377  0.0246 -0.0901  0.4346 -0.4620  0.3195 -0.0366  0.1216  0.1149  0.4074 -0.0576  0.0513 -0.1820 -0.5885  0.3805 -0.2637 -0.0602 -0.5763 -0.3205  0.1466 -0.0903 -0.0257  0.3596  0.1286  0.4032  0.1992  0.2946 -0.4039 -0.1178 -0.4156  0.3735 -0.0054 -0.2646 -0.2760  0.0985  0.1076 -0.0770  0.6228  0.1308  0.2800 -0.0360 -0.1071  0.3249  0.0043  0.1318  0.0667 -0.1517  0.1806 -0.3655  0.2847  0.2661
  0.1159  0.6141  0.5464 -0.2243  0.0373  0.2956 -0.0263 -0.1584 -0.0477  0.5899  0.3291 -0.3041 -0.1180  0.2869  0.1923 -0.1574  0.0553  0.4375  0.2701 -0.1398  0.2276  0.0126 -0.0670 -0.2447 -0.2095 -0.4898 -0.2425  0.2969 -0.0622 -0.5608  0.2681  0.3231  0.2787  0.1848 -0.3023 -0.0569  0.2923  0.0065  0.2499 -0.0576  0.2114  0.1838 -0.0930 -0.1248  0.3383 -0.1417 -0.6019  0.1332  0.7072 -0.5350  0.0925
 -0.7468  0.2181  0.0990  0.3593 -0.5135  0.0266  0.5527 -0.1416 -0.4018  0.1106 -0.0566  0.2580  0.0106  0.1258 -0.0180 -0.1311  0.1375 -0.2651  0.3254  0.0811 -0.3461  0.0042 -0.0956 -0.1054  0.6746  0.1174 -0.2364 -0.3026  0.3979  0.2271  0.3713 -0.0979 -0.2162  0.3745  0.0257 -0.1920 -0.1119  0.1244  0.4795  0.1577  0.2685 -0.2649 -0.2737  0.3572 -0.0744 -0.3667 -0.2337 -0.0093 -0.2972  0.0139 -0.5388
